id,complaint_text,intended_urgency,intended_emotion,scenario,style,profile,history
1,"I am writing to reiterate my previous complaint regarding poor network coverage in my area. I raised this issue last week, yet the situation remains unchanged. As a vulnerable customer, reliable connectivity is essential for my health monitoring.",Low,Low,Poor Network Coverage,Terse and minimal,Vulnerable customer with disability or health condition,Second attempt — raised once before with no resolution
2,"I wish to formally address my concerns regarding the difficulty I've encountered in cancelling my service. I have already communicated this issue on multiple occasions, yet my attempts have not resulted in a satisfactory resolution. I trust you understand the importance of my rights as a consumer, particularly regarding cancellation policies.",Low,Low,Difficulty Cancelling Service,Legalistic / rights-aware,Small business owner relying on service for livelihood,Second attempt — raised once before with no resolution
3,"It's interesting how loyal customers are sometimes penalised for their commitment. I've noticed other providers offering much better rates for new customers, while I am consistently paying more. Perhaps rewarding loyalty is not your strong suit.",Low,Low,Loyalty Penalty,Passive-aggressive / sarcastic,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
4,"I am contacting you again about the unexpected hidden fees on my recent bill. I previously raised this concern last month, but the charges remain unaddressed. As a student on a tight budget, it's disappointing to see these additional costs.",Low,Low,Hidden Fees & Charges,Terse and minimal,Student on a tight budget,Second attempt — raised once before with no resolution
5,"This message is to escalate my concern about what I perceive as deceptive hidden fees on my account. After multiple attempts to resolve this with your customer service, I request that this issue be passed to a manager or the ombudsman for further investigation.",Low,Low,Hidden Fees & Charges,Legalistic / rights-aware,"Young professional, tech-savvy, impatient","Escalation — has exhausted normal channels, requesting manager/ombudsman"
6,"I want to express my concern regarding the mid-contract price increase I have been notified about. As someone who recently switched from another provider, I find this unexpected change challenging. I would appreciate a review of this price adjustment.",Low,Low,Mid-Contract Price Increase,Polite but firm,Recently switched from another provider,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
7,"Since switching to your service, I have not received any updates on the progress of my initial issues. It’s disheartening to remain in the dark, and I would like clarity on where things stand. The lack of communication is less than ideal, given my initial enthusiasm.",Low,Low,Lack of Progress Updates,Narrative / storytelling,Recently switched from another provider,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
8,"I recently noticed a price increase mid-contract and found this quite concerning. As a vulnerable customer, it raises questions for me. I hope we can discuss this matter and find a satisfactory solution.",Low,Low,Mid-Contract Price Increase,Casual conversational,Vulnerable customer with disability or health condition,First contact — raising the issue for the first time
9,"It has come to my attention that I continue to experience long call-waiting times when reaching out to your support team. I’ve contacted customer service several times over the past few weeks, and the wait times remain unacceptably long. It would be beneficial if this could be addressed.",Low,Low,Long Call-Waiting Times,Verbose and detailed,"Young professional, tech-savvy, impatient",Repeat complainer — has contacted 3-5 times over weeks
10,"My current broadband speed is not meeting the expectations outlined in the agreement I signed. This is my first time raising this, but I would appreciate your immediate attention to ensure my service aligns with what I was promised.",Low,Low,Slow Broadband Speeds,Formal professional,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
11,"I would like to highlight my disappointment regarding the lack of updates on the progress of resolving my current issues. I've been a loyal customer for over ten years, and this is my first attempt to seek clarification. Timely communication would be appreciated.",Low,Low,Lack of Progress Updates,Terse and minimal,Long-term loyal customer (10+ years),First contact — raising the issue for the first time
12,"I am writing to address what I believe to be overcharging on my latest bill. As a student with limited resources, I have reached out previously, but the corrected amount has yet to be reflected. I hope this can be rectified promptly.",Low,Low,Overcharging & Incorrect Billing,Formal professional,Student on a tight budget,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
13,"It appears there are hidden fees included in my latest bill that I was not aware of. This is my first time raising this issue, and I would like to understand where these charges are originating from.",Low,Low,Hidden Fees & Charges,Terse and minimal,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
14,"I've raised concerns about persistent overcharging on my family plan several times, yet the issues remain unresolved. This ongoing situation is not sustainable and requires immediate attention for a resolution.",Low,Low,Overcharging & Incorrect Billing,Polite but firm,Parent managing a family plan,Repeat complainer — has contacted 3-5 times over weeks
